#left=en
#right=zh
# Words corresponding to Duolingo units 1-9 to ....

# Unit 1-9

one person, 一个人, yīgèrén
two persons, 两个人, liǎnggèrén
classmate, 同学, tóngxué
three persons, 三个人, sāngèrén
to have, 有, yǒu
Hello, 你好, nǐhǎo
to be called, 叫, jiào
one class, 一节课, yī jié kè
two classes, 两节课, liǎng jié kè
four classes, 四节课, sì jié kè
today, 今天, jīntiān
history, 历史, lìshǐ
Really?, 真的吗, zhēndema?
we, 我们, wǒmen
both / all, 都, dōu

# Unit 1-10

basketball, 篮球, lánqiú
sports, 运动, yùndòng
to play, 打, dǎ
volleyball, 排球, páiqiú
running, 跑步, pǎobù
really / extremely, 非常, fēicháng
tennis, 网球, wǎngqiú
to swim, 游泳, yóuyǒng
rather, 比较, bǐjiào
or, 还是, háishì
park, 公园, gōngyuán
gym, 健身房, jiànshēnfáng
you all, 你们, nǐmen
