#encoding=UTF-8
# Jip en janneke spelen samen
de tuin, the garden
zich vervelen, to be bored
het gat, the hole
het gaatje, the little hole
de ridder, the knight
de grond, the floor
de neus, the nose
de mond, the mouth
het paleis, the palace
net zo groot als, as big as
hoe heet je?, what is your name?
gisteren, yesterday
spelen, to play
de ene ... de andere, the one ... the other
toen, then
huilen, to cry
gillen, to scream
terug, back
buurmeisje, neighbour girl
het tuintje, the little garden
zijn, his / to be
haar, her / hair
weer, again / weather
# Jip met de staart
de schaar, the scissors
de kapper, the hair-dresser
akelig, terrible / scary
nog een klein stukje, only a little bit more
klaar, ready
kappersmantel, robe from the hair-dresser
winkel, shop
nog eventjes, a little while longer
de staart, the tail
de shouders, the shoulders
zijn schouders ophalen, to raise his shoulders
de kant van de weg, the side of the road
heel erg, very much / a lot
gek, weird
de servet, the napkin
kaal, bald
bovenop, on top
het leven, the life
je hele leven, your whole life
naar, nasty / towards
toch, on the other hand
brommen, to grumble
ziezo, that is done
heus, really
knopen, to tie
losknopen, to untie
los, loose / away
weg zijn, to be gone
knikkeren, to play with marbles
de knikker, the marble
