#encoding=UTF-8
#Poppejans is ziek
ziek, ill
opbellen, to call
het gordijn, the curtain
het koord, the rope
andere, other
jas, jacket
slepen, to drag
de vloer, the floor
de hoed, the hat
houten, wooden
de lepel, the spoon
onderzoeken, to examine
de klap, the stroke
de koorts, the fever
zeepsop, hot water with soap
hoor eens, now hear here
het been, the leg
trekken, to pull
uit elkaar trekken, to pull apart
nooit, never
de kop, the cup
vanzelf, by itself
gelukkig, luckily
grootmoeder, grandmother
#mandje appels voor open
de mand, the basket
de opa, the grandfather
tussenin, in between
ieder, both
doe de groeten, give my regards
na een poosje, after a while
langs, alongside
lekkerder, tastier
proeven, to taste
bijten, to bite
smaken, to taste like
eender, the same
fijn, nice
proberen, to try
de tand, the tooth
precies, precisely
treurig, sad
het stukje, the piece
bang, afraid
waar, true
denken, to think
