#áéóíúñ
# uit:
# gente 9: gente de ciudad
#question2=Wat is "" in het Spaans?
#question1=Wat is "" in het Nederlands?

#7
las ventajas, de voordelen
las desventajas, de nadelen
duro, zwaar
cerrado, gesloten
la oferta, de offerte
aburrirse, zich vervelen

#8
publicar, publiceren
la prensa local, de plaatselijke pers
el colegio, de school / het college
las líneas de autobús, de buslijnen
el índice, de index
el paro, de werkeloosheid
la población activa, de beroepsbevolking
el barrio, de wijk
el casco antiguo, de oude stadskern
con frequencia, vaak
grave, ernstig
la capacidad, de capaciteit
el coche, de auto
proponer, voorstellen
la zona peatonal, de voetgangerszone
ser criticado, bekritiseerd worden
los comerciantes, de winkeliers
la zona, de zone
últimamente, onlangs
estar en mal estado, in slechte staat zijn
el estadio, het stadion
la piscina descubierta, het openluchtzwembad
municipal, gemeentelijk
el polideportivo, het sportcomplex
el baloncesto, het basketbal
las viviendas, de woningen
hallarse, zich bevinden
desocupado, onbewoond
el gasto, de uitgave
el alquiler, de huur
los ingresos, de inkomsten
los toxicómanos, de verslaafden
estimar, schatten
el centro de atención, het verzorgingscentrum
la residencia de ancianos, het bejaardentehuis
tener plaza, plaats hebben
el polígono industrial, het industriegebied
el plástico, het plastic
contaminar, vervuilen

#9
las finanzas, de financiën
el presupuesto general, de begroting
el plano, de plattegrond
el informe, het verslag
la prensa, de pers
disponer de, beschikken over
el presupuesto, het budget
invertir, investeren
la unfraestructura, de infrastructuur
el portavoz, de woordvoerder
defender, verdedigen
la sesión, de sessie
