#spaans
#Uit "prisma - spaans leer je zo"
# paragraaf 20
#question1=Wat is "" in het Spaans?
#question2=Wat is "" in het Nederlands?
la llegada, de aankomst
España, Spanje
la señora, de mevrouw
el tren, de trein
parar, stoppen
¿dónde?, waar?
estamos, we zijn
no, nee
has leido, heb je gelezen
has, je hebt
leido, gelezen
leer, lezen
el nombre, de naam
de, van
la estación, het station
el caballero, de heer
ya, reeds
en, in
acabamos de llegar, we zijn zojuist aangekomen
llegar, aankomen
la frontera, de grens
española, spaans
esta, dit
es, hij is
estar / ser, zijn
entonces, dan
aquí, hier
registrar, aantekenen
el equipaje, de bagage
si, ja
tenemos que, we moeten
tener que, moeten
bajar, dalen
y, en
la sala de registro, de douanehal
pero, maar
antes, eerst
voy a llamar, ik ga roepen
llamar, roepen
un mozo, een kruier
para que, opdat
nos lleve, hij draagt voor ons
llevar, dragen / wegbrengen
¿está usted libre?, bent u vrij?
usted, u
libre, vrij
señor, meneer
subir, stijgen / instappen
el coche, de auto / de wagon
coger, pakken / halen
no es necesario, het is niet nodig
esperar, hopen / wachten
yo, ik
alargar, uitstrekken / aanreiken / verlengen
por una ventanilla, door een raampje
tener / haber, hebben
sólo, slechts
la maleta, de koffer
dos, twee
la maleta de mano, de handkoffer
el baúl grande, de grote koffer
muy bien, zeer goed
hágame, doet u mij
hacer, doen / maken
el favor, de gunst
el talón, het vrachtbriefje
vengan conmigo, gaat u met mij mee
vengan, gaat u mee
venir, komen
conmigo, met mij
un momentito, een ogenblikje
voy a buscar, ik ga halen
buscar, zoeken / halen
cuánto tiempo, hoe lang
el tiempo, de tijd
más de, meer dan
media hora, half uur
la hora, het uur
sale, hij vertrekt
salir, vertrekken
a eso de, omstreeks
las cinco, vijf uur
temo, ik vrees
temer, vrezen
perder, verliezen
el rápido, de sneltrein
lo principal, het voornaamste
descuide usted, weest u maar niet bezorgd
descuidar, niet bezorgd zijn
saldrá, hij zal vertrekken
hasta que, totdat
todos, alle
los viajeros, de reizigers
estén despachados, ze zijn geholpen
despachar, afhandelen / helpen
tendrá usted la bondad, wilt u zo goed zijn
tendrá, u zult hebben
la bondad, de goedheid
revisar, nazien
el empleado, de bediende / de ambtenaar
tiene usted que, u moet
llegue, hij bereikt
el turno, de beurt
ahí, daar
viene, hij komt
el vista, de douane
cúal, welk
este / estas, deze
¿tiene usted algo de pago?, heeft u iets aan te geven?
algo, iets
tiene usted, hebt u
el pago, de betaling
pagar, betalen
que yo sepa, voor zover ik weet
sepa, ik weet
saber, weten
llevo, ik heb
unas prendas de vestir, de enige kledingstukken
usadas, gebruikt
usar, gebruiken
unos objetos, enige voorwerpen
de mi uso personal, voor mijn eigen gebruik
el uso, het gebruik

