#paragraaf 129

hasta, tot
lo que dice, wat hij zegt
el propietario, de eigenaar
el vino, de wijn
el vino tinto, de rode wijn
apagar, blussen / lessen
la sed, de dorst
por fin, eindelijk
la música, de muziek
la banda, de band
municipal, gemeentelijk
ganar, verdienen
el dinero, het geld
ganar dinero, geld verdienen
tomar clases de, les nemen bij
el pueblo, het dorp / het volk
la belleza, de schoonheid
la región, de streek
la tiendo, de winkel / de tent
el disco, de schijf
¿cuánto?, hoeveel?
el mismo, hetzelfde
mañana, morgen
mis padres, mijn ouders
queremos, wij willen
la meseta, de hoogvlakte
la puerta, de deur
el traje de baño, het badpak
rápido, snel
tan, zozeer
siempre, altijd
la pena, de pijn / de moeite
vale, het is waard
valer, waard zijn
que vale la pena, het is de moeite waard
¿por qué?, waarom?
el avión, het vliegtuig
durante, gedurende
de modo que, zodat
demasiado, teveel
demasiado caro, te duur
la leche, de melk
el piso, de flat
fácil, makkelijk
primero, eerst
a qué hora, hoe laat
a las ocho, om acht uur
muchas veces, dikwijls
la manera, de manier
de esta manera, op deze manier
