vrij, libre
ja hoor, seguro
ga gerust zitten, sientate por favor
je mag hier alleen niet roken, solo que no puedes fumar aqui
net, solo/justo
twaalf uur, doce horas
zei je...?, dijiste...?
tjonge, wow
je kent dat wel, to sabes
waar ga jij naar toe?, a donde vas?
goede reis, buen viaje
bedankt, gracias
veel, mucho
lekker, agradable
het verhaal, historia/cuento
later, mas tarde
nog wel eens, algun tiempo
(nog) nooit, nunca (antes)
natuurlijk, por supuesto
geen, no
nog niet, todavia no
morgen, ma^ana
ik bel je morgen nog wel, te dejo saber ma^ana
daarvoor (e), antes de eso/por eso (before that/for that)
u moet...wel (e), tienes que... (you've got to)
zonder, sin
zullen we...? (e), -amos/-emos? (shall we...?)
oke, ok
rood/rode, rojo
een borrel geven (e), orgaizar una reunion (to organize a get-together)
ja leuk, si eso esta bien
ja bent jarig, es tu cumplea^os
zal ik (e), deberia (should I)
aardig, agradable(mente)
nou nee, bueno no
zo, entonces/ en un minuto
he nee, oh no
sympathiek, simpatico
ik wel, pero yo si
wel, o si?
laten we (gaan), vamonos
nog, todavia
boodschappen doen, hacer las compras
vanavond, esta noche
niet zo erg (e), no mucho (no really)
erg, muy/mucho
ook, moreover
ik eet liever geen vlees, prefiero no comer carne
trouwens, realmente
alles, todo
lekker, rico/delicioso
pas op, ten cuidado
sorry, perdon/lo siento
wat een...!, que...!
mooi(e), hermoso
iets fris, una bebida fria/algo frio
fris, frio/refrescante
alcoholvrij, sin alcohol
die dat maar, tendre eso
kijk eens, aqui tienes
eigenlijk, exactamente
eerst, primero
zoals (e), como/tal como (such as/as)
daarna (e), entonces/despues de eso (then/after that)
ten slotte, finalmente
klaar (e), listo (ready)
snel, rapido
erg (e), muy (very)
makkelijk (e), facil (easy)
ik zal vast (e),  yo voy primero y (I will go ahead and)
de tafel dekken, poner la mesa
het vuur, fuego/estufa
samen, junto(s)
heel graag, OK muchas gracias
blauw, azul
elkaar, cada uno
hetzelfde, el mismo
heren, caballero
groot, grande
rauw, crudo
oud, viejo/maduro
nieuw, nuevo
white, blanco
bruin, cafe
hoe smaakt...? (e), como es tu...? (what's your... like?)
heel, todo/completamente
zacht, suave
er (s), ahi (there)
prima, excelente
gewoon, regular/ordinario
aan tafel, a la mesa
naast, junto a
nog eens, otra vez/de nuevo
zo jongens, bien amigos
ga je gang, ir adelante/ir a la cabeza
smakelijk eten!, provecho/disfruta tu comida
insgelijks, igualmente
heet, caliente
heerlijk, delicioso
genoeg, suficiente
zo meteen, en un minuto
nog wat, algo mas/un poco mas
dik worden, engordar
te, tambien/demasiado
dik, gordo/grueso
