casa, house
bolsa, bag
arbol, tree
uno, 1
dos, 2
tres, 3
cuatro, 4
cinco, 5
seis, 6
siete, 7
ocho, 8
nueve, 9
diez, 10
once, 11
doce, 12
trece, 13
catorce, 14
quince, 15
dieciseis, 16
diecisiete, 17
dieciocho, 18
diecinueve, 19
veinte, 20
veintiuno, 21
veintidos, 22
treinta, 30
treinta y uno, 31
treinta y dos, 32
cuarenta, 40
cuarenta y uno, 41
cincuenta, 50
sesenta, 60
setenta, 70
ochenta, 80
noventa, 90
cien, 100
doscientos, 200
trescientos, 300
mil, 1000
millon, 1000000 
lunes, monday
martes, tuesday
miercoles, wednesday
jueves, thursday
viernes, friday
sabado, saturday
domingo, sunday
luna, moon
sun, sol
nubes, clouds
diversion, fun
divertido, funny
bonito, pretty
triste, sad
musica, music
perro, dog
gato, cat
raton, mouse
vaca, cow
pollo, chicken
gallina, hen
pollito, chick
vibora, snake
caballo, horse
conejo, rabbit
navidad, christmas
sonrisa, smile
lagrima, tear
cansado, tired
casado, married
hora, hour
ciudad, city
calle, street
vivo, live
gente, people
lleno, full
trabajo, work
mucho, a lot
medio, half
bien, good
mal, bad
nada, nothing
algo, something
todo, all
cosa, thing
alguien, somebody
nadie, nobody
dia, day
semana, week

