#encoding=UTF-8
#pets
de kat, the cat
de hond, the dog
de cavia, the guinea pig
de hamster, the hamster
de muis, the mouse
het konijn, the rabbit
de haas, the hare
de rat, the rat
#animals
de schildpad, the turtle
de leeuw, the lion
de tijger, the tiger
de kikker, the frog
de pad, the toad
#classes
het insect, the insect
het zoogdier, the mammal
het knaagdier, the rodent
#insects
de vlinder, the butterfly
de bij, the bee
de kever, the beetle
de wesp, the wasp
de mug, the musquito
de vlieg, the fly
de vlo, the flee
#sea
de dolfijn, the dolphin
de vis, the fish
de walvis, the whale
de haai, the shark
de kwal, the jellyfish
de krab, the crab
de kreeft, the lobster
# farm
de koe, the cow
het varken, the pig
het schaap, the sheep
de kip, the chicken
het kuiken, the chick
de geit, the goat
de gans, the goose
de eend, the duck
de ezel, the donkey
het paard, the horse
#tools
de hamer, the hammer
de schroevendraaier, the screw driver
de schroef, the screw
de spijker, the nail
de zaag, the saw
de boor, the drill
de tang, the pliers
#office
de schaar, the scissors
de nietmachine, the stapler
de perforator, the hole punch
het plakband, the clear tape
het papier, the paper
het potlood, the pencil
de pen, the pen
de lineaal, the ruler
de lijm, the glue
de rekenmachine, the calculator
het bureau, the desk
het kantoor, the office
het kladblok, the notepad
