# REGULARS
to serve, dienen/diende/gediend
to earn, verdienen/verdiende/verdiend
to reach, bereiken/bereikte/bereikt
to burden, belasten/belastte/belast
to overload, overbelasten/overbelastte/overbelast
to illuminate, belichten/belichtte/belicht
to spend, besteden/besteedde/bested
to populate, bevolken/bevolkte/bevolkt
to bluff, bluffen/blufte/gebluft
to book, boeken/boekte/geboekt
to build, bouwen/bouwde/gebouwd
to support, onderbouwen/onderbouwde/onderbouwd
to expand, uitbreiden/breidde uit/uitgebreid
to bridge, overbruggen/overbrugde/overbrugd
to circle, cirkelen/cirkelde/gecirkeld
to encircle, omcirkelen/omcirkelde/omcirkeld
to cover, dekken/dekte/gedekt
to discover, ontdekken/ontdekte/ontdekt
to cover (roof), overdekken/overdekte/overdekt
to thunder, donderen/donderde/gedonderd
to intimidate, overdonderen/overdonderde/overdonderd
to turn, draaien/draaide/gedraaid
to threaten, dreigen/dreigde/gedreigd
to soak, doordrenken/doordrenkte/doordrenkt
to drench, drenken/drenkte/gedrenkt
to press, drukken/drukte/gedrukt
to oppress, onderdrukken/onderdrukte/onderdrukt
to dare, durven/durfde/gedurfd
to inherit, erven/erfde/geërfd
to throw, gooien/gooide/gegooid
to tie, vastmaken/maakte vast/vatgemaakt
to fill up, volmaken/maakte vol/volgemaakt
to make up, opmaken/maakte op/opgemaakt
to overpower, overmannen/overmande/overmand
to believe, menen/meende/gemeend
to remark, opmerken/merkte op/opgemerkt
to undermine, ondermijnen/ondermijnde/ondermijnd
to wall in, ommuren/ommuurde/ommuurd
to stay the night, overnachten/overnachtte/overnacht
to embrace, omarmen/omarmde/omarmd
to develop, ontwikkelen/ontwikkelde/ontwikkeld
to reflect, overpeinzen/overpeinsde/overpeinsd
to contemplate, peinzen/peinsde/gepeinsd
to cram, proppen/propte/gepropt
to stuff, volproppen/propte vol/volgepropt
to persuade, overreden/overreedde/overreed
to aim, richten/richtte/gericht
to instruct, onderrichten/onderrichtte/onderricht
to perform/do, verrichten/verrichtte/verricht
to surround, omringen/omringde/omringd
to shadow, shaduwen/shaduwde/geschaduwd
to overshadow, overshaduwen/overshaduwde/overshaduwd
to estimate, schatten/schatte/geschat
to underestimate, onderschatten/onderschatte/onderschat
to overestimate, overschatten/overschatte/overschat
to differ, schelen/scheelde/gescheeld
to intercept, onderscheppen/onderschepte/onderschept
to witness, aanschouwen/aanschouwde/aanschouwd
to siege, omsingelen/omsingelde/omsingeld
to play, spelen/speelde/gespeeld
to reflect, weerspiegelen/weerspiegelde/weerspiegeld
to suppose, onderstellen/onderstelde/ondersteld
to set, stellen/stelde/gesteld
to compose, samenstellen/stelde samen/samengesteld
to disappoint, teleurstellen/stelde teleur/teleurgesteld
to adjust, vestellen/verstelde/versteld
to propose/imagine, voorstellen/stelde voor/voorgesteld
to stem/stop, stelpen/stelpte/gestelpt
to overwhelm, overstelpen/overstelpte/overstelpt
to miss target, misgooien/gooide mis/misgegooid
to fill up, volgooien/gooide vol/volgegooid
to hurry, haasten/haastte/gehaast
to rush, zich overhaasten/zich overhaastte/zich overhaast
to fetch, halen/haalde/gehaald
to recover, achterhalen/achterhaalde/achterhaald
to convince, overhalen/haalde over/overgehaald
to handle, handelen/handelde/gehandeld
to treat/handle, behandelen/behandelde/behandeld
to negotiate, onderhandelen/onderhandelde/onderhandeld
to hand over, overhandigen/overhandigde/overhandigd
to hate, haten/haatte/gehaat
to rule/govern, heersen/heerste/geheerst
to dominate, overheersen/overheerste/overheerst
to hug, omhelzen/omhelsde/omhelsd
to remember, herinneren/herinnerde/herinnerd
to name/ heten/heette/geheten
to hear, horen/hoorde/gehoord
to overhear, overhoren/overhoorde/overhoord
to wrap, hullen/hulde/gehuld
to envelop, omhullen/omhulde/omhuld
to hunt, jagen/jaagde-joeg/gejaagd
to reflect, weerkaatsen/weerkaatste/weerkaatst 
to cut, kappen/kapte/gekapt
to know, kennen/kende/gekend
to acknowledge, onderkennen/onderkende/onderkend
to reject, afkeuren/keurde af/afgekeurd
to approve, goedkeuren/keurde goed/goedgekeurd
to judge, keuren/keurde/gekeurd
to complain, klagen/klaagde/geklaagd
to dress, zich aankleden/kleedde/gekleed
to pitch, klemmen/klemde/geklemd
to clasp, omklemmen/omklemde/omklemd
to cool, koelen/koelde/gekoeld
to super cool, onderkoelen/onderkoelde/onderkoeld
to coordinate/pool, overkoepelen/overkoepelde/overkoepeld
to put, leggen/legde/gelegd
to put down, neerleggen/ledge neer/neergelegd
to discuss, overleggen/overlegde/overlegd
to lead, leiden/leidde/geleid
to live, level/leefde/geleefd
to survive, overleven/overleefde/overleefd
to outline, omlijnen/omlijnde/omlijnd
to underline, onderlijnen/onderlijnde/onderlijnd
to frame, omlijsten/omlijstte/omlijst
to make, maken/maakte/gemaakt
to participate, meemaken/maakte mee/meegemaakt
to finish/decide, uitmaken/maakte uit/uitgemaakt
to guide, voeren/voerde/gevoerd
to supersaturate, oververzadigen/oververzadigde/oververzadigd
to saturate, verzadigen/verzadigde/verzadigd
to establish, vestigen/vestigde/gevestigd
to surpass, overvleugelen/overvleugelde/overvleugeld
to starve, ondervoeden/ondervoedde/ondervoed
to overfeed, overvoeden/overvoedde/overvoed
to feed, voeden/voedde/gevoed
to sense, voorvoelen/voorvoelde/voorvoeld
to feel, voelen/voelde/gevoeld
to execure, uitvoeren/voerde uit/uitgevoerd
to chase, achtervolgen/achtervolgde/achtervolgd
to follow, volgen/volgde/gevolgd
to ask too much, overvragen/overvroeg/overvraagd
to fan, waaien/waaide/gewaaid
to expect, verwachten/verwachtte/verwacht
to wall in, omwallen/omwalde/omwald
to refuse, weigeren/weigerde/geweigerd
to overwhelm, overweldigen/overweldigde/overweldigd
to get used to, wennen/wende/gewend
to finish, afwerken/werkte af/afgewerkt
to work, werken/werkte/gewerkt
to work overtime, overwerken/werkte over/overgewerkt
to overwork, zich overwerken/overwerkte/overwerkt
to want, willen/wilde-wou/gewild
to overgrow, overwoekeren/overwoekerde/overwoekerd
to vote, stemmen/stemde/gestemd
to support, (onder)steunen/(onder)steunde/(onder)steunt
to stop, stoppen/stopte/gestopt
to stuff, volstoppen/stopte vol/volgestopt
to underline, onderstrepen/onderstreepte/onderstreept
to streak, strepen/streepte/gestreept
to oppose, weerstreven/weerstreefde/weerstreefd
to flood, overstromen/overstroomde/overstroomd
to overflow, overstromen/stroomde over/is overgestroomd
to sign, ondertekenen/ondertekende/ondertekend
to draw, tekenen/tekende/getekend
to subtitle, ondertitelen/ondertitelde/ondertiteld
to trump, troeven/troefde/getroefd
to convince, overtuigen/overtuigde/overtuigd
to gear, tuigen/tuigde/getuigd
to accept, aanvaarden/aanvaarde/aanvaard
to include/cover, omvatten/omvatte/omvat
to overheat, oververhitten/oververhitte/oververhit
to heat, verhitten/verhitte/verhit
to tire, vermoeien/vermoeide/vermoeid
to overlabour, zich oververmoeien/oververmoeide/oververmoeid
to hurry, zich overijlen/overijlde/overijld
to care, verzorgen/verzorgde/verzorgd

#E/A/A
to bring, brengen/bracht/gebracht
to spend time, doorbrengen/bracht door/doorgebracht
to invent, bedenken/bedacht/bedacht
to think, denken/dacht/gedacht
to consider, overdenken/overdacht/overdacht
