# verb conjugations
#question1=Conjugate ""
#askbothways=0

#regular d
willen, wilde - heeft gewild
leggen, legde - heeft gelegd
halen, haalde - heeft gehaald
bedoelen, bedoelde - heeft bedoeld
verdelen, verdeelde - heeft verdeeld
vermoorden, vermoordde - heeft vermoord
vertellen, vertelde - heeft verteld
durven, durfde - heeft gedurfd
tekenen, tekende - heeft getekend
leren, leerde - heeft geleerd
veranderen, veranderde - heeft veranderd
studeren, studeerde - heeft gestudeerd
ontwikkelen, ontwikkelde - heeft ontwikkeld
verbeteren, verbeterde - heeft verbeterd
benaderen, benaderde - heeft benaderd
regeren, regeerde - heeft geregeerd
leiden, leidde - heeft geleid
verzamelen, verzamelde - heeft verzameld
rekenen, rekende - heeft gerekend
kennen, kende - heeft gekend
schreeuwen, schreeuwde - heeft geschreeuwd
rijmen, rijmde - heeft gerijmd 
redden, redde - heeft gered
rennen, rende - heeft gerend
klagen, klaagde - heeft geklaagd
klieren, klierde - heeft geklierd
zeuren, zeurde - heeft gezeurd
duwen, duwde - heeft geduwd
roeren, roerde - heeft geroerd
zagen, zaagde - heeft gezaagd
zaaien, zaaide - heeft gezaaid
draaien, draaide - heeft gedraaid
beroven, beroofde - heeft beroofd
openen, opende - heeft geopend
naaien, naaide - heeft genaaid
voelen, voelde - heeft gevoeld
dromen, droomde - heeft gedroomd
verlangen, verlangde - heeft verlangd
presenteren, presenteerde - heeft gepresenteerd
aaien, aaide - heeft geaaid
krabben, krabde - heeft gekrabd
scheuren, scheurde - heeft gescheurd
huilen, huilde - heeft gehuild

#regular t
zetten, zette - heeft gezet
vloeken, vloekte - heeft gevloekt
werken, werkte - heeft gewerkt
richten, richtte - heeft gericht
verwachten, verwachtte - heeft verwacht
wachten, wachtte - heeft gewacht
hopen, hoopte - heeft gehoopt
wensen, wenste - heeft gewenst
oogsten, oogstte - heeft geoogst
praten, praatte - heeft gepraat
kletsen, kletste - heeft gekletst
drukken, drukte - heeft gedrukt
schoppen, schopte - heeft geschopt
missen, miste - heeft gemist
kloppen, klopte - heeft geklopt
koken, kookte - heeft gekookt
poetsen, poetste - heeft gepoetst
knippen, knipte - heeft geknipt
plakken, plakte - heeft geplakt
staken, staakte - heeft gestaakt
strekken, strekte - heeft gestrekt

#completely irregular
vragen, vroeg - heeft gevraagd
denken, dacht - heeft gedacht
brengen, bracht - heeft gebracht
zoeken, zocht - heeft gezocht
kopen, kocht - heeft gekocht 
verkopen, verkocht - heeft verkocht
zijn, was - is geweest
hebben, had - heeft gehad
kunnen, kon - heeft gekund
zeggen, zei - heeft gezegd

#irregular with - en
mogen, mocht - heeft gemogen
gaan, ging - is gegaan
roepen, riep - heeft geroepen
doen, deed - heeft gedaan
nemen, nam - heeft genomen
besluiten, besloot - heeft besloten
houden, hield - heeft gehouden
dragen, droeg - heeft gedragen
worden, werd - is geworden
slaan, sloeg - heeft geslagen
schelden, schold - heeft gescholden
sterven, stierf - is gestorven
liggen, lag - heeft gelegen
liegen, loog - heeft gelogen
vergeten, vergat - heeft vergeten
moeten, moest - heeft gemoeten
zenden, zond - heeft gezonden
winnen, won - heeft gewonnen
verliezen, verloor - heeft verloren
ontwerpen, ontwierp - heeft ontworpen
bestaan, bestond - heeft bestaan
vinden, vond - heeft gevonden
kijken, keek - heeft gekeken
zien, zag - heeft gezien
spreken, sprak - heeft gesproken
drinken, dronk - heeft gedronken
eten, at - heeft gegeten
lijden, leed - heeft geleden
komen, kwam - is gekomen
schrijven, schreef - heeft geschreven
schieten, schoot - heeft geschoten
ontvangen, ontving - heeft ontvangen
helpen, hielp - heeft geholpen
wijzen, wees - heeft gewezen
meten, mat - heeft gemeten
begrijpen, begreep - heeft begrepen
lachen, lachte - heeft gelachen
laten, liet - heeft gelaten
zingen, zong - heeft gezongen
weten, wist - heeft geweten
zwemmen, zwom - heeft gezwommen
lezen, las - heeft gelezen
lopen, liep - heeft gelopen
trekken, trok - heeft getrokken
bakken, bakte - heeft gebakken
vriezen, vroor - heeft gevroren
wassen, waste - heeft gewassen
blijken, bleek - is gebleken
sluiten, sloot - heeft gesloten
kiezen, koos - heeft gekozen
stelen, stal - heeft gestolen
graven, groef - heeft gegraven
sluipen, sloop - heeft geslopen
springen, sprong - heeft gesprongen
steken, stak - heeft gestoken
zitten, zat - heeft gezeten
kruipen, kroop - heeft gekropen
vallen, viel - is gevallen
slapen, sliep - heeft geslapen
strijken, streek - heeft gestreken
blazen, blies - heeft geblazen
zuigen, zoog - heeft gezogen
verlaten, verliet - heeft verlaten
vliegen, vloog - heeft gevlogen
grijpen, greep - heeft gegrepen
breken, brak - heeft gebroken
