#encoding=UTF-8
address, osoite
age, ikä
alphabet, aakkoset
animal, eläin
answer, vastaus
arm, käsivarsi
aunt, täti
autumn, syksy
awful, kaamea
back, selkä
bag, kassi / laukku
ball, pallo
bathing suit, uimapuku
beach, ranta
battery, paristo
bed, sänky
beautiful, kaunis
beer, olut
bicycle, pyörä
bill, lasku
bird, lintu
blanket, peitto
blood, veri
bone, luu
book, kirja
bottle, pullo
boy, poika
bridge, silta
brother, veli
bucket, ämpäri
building, rakennus
bus, bussi
but, mutta
butter, voi
cabbage, kaali
candy, makeinen
cap, lakki
car, auto
castle, linna
cheese, juusto
choice, valinta
chocolate, suklaa
cherry, kirsikka
chicken, kana
cinema, elokuva
cinnamon, kaneli
city, kaupunki
clean, puhdas
clock, kello
closed, kiini / suljettu
cloud, pilvi
cold, kylmä
coast, rannikko
colour, väri
comb, kampa
complaint, valitus
cookie, keksi
country, maa
cream, kerma
credit, luotto
cup, kuppi
danger, vaara
day, päivä
dark, pimeä
daughter, tytär
deep, syvä
delay, myöhässä
dentist, hammaslääkäri
curtain, verho
departure, lähtö
difficult, vaikea
disc, levy
doctor, lääkäri
dog, koira
dizzy, huimaus
doll, nukke
door, ovi
dry, kuiva
drink, juoma
duck, ankka
during, aikana
ear, korva
east, itä
easy, helppo
egg, muna
elevator, hissi
emergency, hätä
end, loppu
evening, ilta
exit / outside, ulos
eye, silmä
fabric, kangas
face, kasvot
family, perhe
far, kaukana
father, isä
field, pelto
finger, sormi
fish, kala
fog, sumu
food, ruoka
foot, jalka
forbidden, kielletty
forest, metsä
fork, haarukka
free, vapaa
fresh, tuore
fruit, hedelmä
full, täysi
game, peli
garlic, valkosipuli
gift, lahja
girl, tyttö
glue, liima
gold, kulta
good, hyvä
grandfather, isoisä
grandmother, isoäiti
gray, harmaa
green, vihreä
group, ryhmä
habit, tapa
hair, hiukset
half, puoli
hand, käsi
hammer, vasara
hard, kova
head, pää
high, korkea
hill, mäki
hole, reikä
holiday, loma
home, koti
honey, hunaja
hour, tunti
house, talo
hot, kuuma
ice, jää
ice cream, jäätelö
if, jos
information, neuvonta
ink, muste
injury, vamma
jam, hillo
juice, mehu
only, vain
knee, polvi
key, avain
lake, järvi
language, kieli
leather, nahka
leg, sääri
letter, kirje
man, mies
many, monta
market, tori
married, naimisissa
mug, muki
milk, maito
message, viesti
mirror, peili
muscle, lihas
moon, kuu
mother, äiti
mushroom, sieni
mouth, suu
month, kuukausi
name, nimi
narrow, kapea
needle, neula
never, ei koskaan
next, ensi
north, pohjoinen
nose, nenä
nothing, ei mitään
now, nyt
oil, öljy
old, vanha
other, muu
paint, maali
pair, pari
trousers, housut
park, puisto
path, polku
peanut, määpähkinä
pen, kynä
plane, lentokone
poison, myrkky
police, poliisi
price, hinta
programme, ohjelma
rain, sade
ready, valmis
reservation, varaus
left, vasen
road, tie
river, joki
room, huone
rope, köysi
rucksack, reppu
sale, myynti
sand, hiekka
salt, suola
sausage, makkara
school, koulu
sea, meri
scissors, sakset
sentence, lause
shirt, paita
ship, laiva
shape, muoto
shoulder, olkapää
shoe, kenkä
shower, suihku
silver, hopea
ski, suksi
sky, taivas
skin, iho
snow, lumi
soup, keitto
soft, pehmeä
soon, pian
south, etelä
speed, nopeus
spice, mauste
spinach, pinaatti
spoon, lusikka
sport, urheilu
spring, kevät
star, tähti
stamp, postimerkki
statue, patsas
strange, outo
street, katu
strawberry, mansikka
student, opiskelija
sugar, sokeri
suit, puku
summer, kesä
sun, aurinko
sweet, makea
table, pöytä
tax, vero
telephone, puhelin
than, kuin
then, sitten
thigh, reisi
thread, lanka
through, läpi
ticket, lippu
time, aika
tire, rengas
toe, varvas
also, myös
tooth, hammas
towel, pyyhe
tower, torni
toy, leikkikalu
traffic, liikenne
train, juna
trip, matka
tree, puu
ugly, ruma
uncle, setä
until, asti
value, arvo
very, tosi
wall, muuri
wallet, lompakko
warm, lämmin
wave, aalto
weather, sää
week, viikko
west, länsi
white, valkoinen
wind, tuuli
wine, viini
without, ilman
with, kanssa
woman, nainen
word, sana
year, vuosi
young, nuori
yesterday, eilen
taste, maku
shop, kauppa
law, laki
small, pieni
people, väki
person, henki
moment, hetki
coffee, kahvi
winter, talvi
electricity, sähkö
newspaper, lehti
floor, lattia
money, raha
kuori, enveloppe
tent, teltta
village, kylä
floppy disk, korppu
beard, parta
stone, kivi
empty, tyhjä
salary, palkka
friend, kaveri / ystävä
sandwich, voileivän
plate, lautanen
window, ikkuna
station, asema
night, yö
mobile phone, kännykkä
bad, huono
frequent, usea
university, yliopisto
economy, talous
cat, kissa
morning, aamu
always, aina
example, esimerkki
tomorrow, huomenna
god, jumala
everyone, kaikki
expensive, kallis
plant, kasvi
bear, karhu
map, kartta
middle, keski
fact, tieto
up, ylös
down, alas
again, taas / uudelleen
knife, veitsi
carrot, porkkana
pear, päärynä
computer, tietokone
monday, maanantai
tuesday, tiistai
wednesday, keskiviiko
thursday, torstai
friday, perjantai
saturday, lauantai
sunday, sunnuntai
january, tammikuu
february, helmikuu
march, maaliskuu
april, huhtikuu
may, tuokokuu
june, kesäkuu
july, heinäkuu
august, elokuu
september, syyskuu
october, lokakuu
november, marraskuu
december, joulukuu
red, punainen
black, musta
yellow, keltainen
blue, sininen
brown, ruskea
open, auki
pitkä, tall
raskas, heavy
heikko, weak
heti, at once
