#katakana
#askbothways=0
#question1=What is
#encoding=UTF-8
トイレ, toilet
イラン, iran
アニメ, anime
レタス, lettuce
メロン, melon
レモン, lemon
テニス, tennis
カメラ, camera
サイン, signature
コロン, cologne
キス, kiss
マスク, mask
リモコン, remote control
トマト, tomato
タクシー, taxi
レストラン, restaurant
フランス, france
フロント, front desk
アメリカ, america
メール, email
サラリーマン, office worker
ストロー, straw
クリスマス, christmas
メキシコ, mexico
トースター, toaster
スニーカ, sneakers
レンタカー, rent-a-car
アメフト, american football
アンテナ, antenna
ナイフ, knife
カロリー, calorie
アイス, ice cream
ラーメン, ramen
キロメートル, kilometer
モナコ, monaco
ト, to
イ, i
レ, re
ラ, ra
ン, n
ア, a
ニ, ni
メ, me
マ, ma
リ, ri
コ, ko
ス, su
ク, ku
ロ, ro
タ, ta
カ, ka
モ, mo
ナ, na
キ, ki
フ, fu
# two times
ル, ru
シ, shi
サ, sa
テ, te


