#encoding=UTF-8
# (C) 2009 Martijn van Iersel
# Redistribution under Creative Commons CC-BY-SA
# áéóíúñ¿¡

zitten, sentar
roken, fumar
vliegen, volar
doen / maken, hacer
bezoeken, visitar
weten, saber
kennen, conocer
moeten, deber / tener que
uitstappen, salir / bajar
fietsen, andar en bicicleta
meegaan, acompañar
koken, cocinar / hervir
bakken, freir / hornear
dekken, cubrir
snijden, cortar
zetten, poner
lunchen, almorzar
bestellen, ordenar
smaken, provar
vullen, llenar
proeven, probar / tratar
