postre, desert
pay, pie
helado, ice cream
tocino, bacon
sabor, taste
luz, light
hoy, today
ayer, yesterday
pasado, past
presente, present
futuro, future
rapido, quick
cena, dinner
desayuno, breakfast
almuerzo, lunch
comida, food
despues, later
igual, same
mochila, backpack
alberca, swimming pool
gimnasio, gym
enero, january
febrero, february
marzo, march
abril, april
mayo, may
junio, june
julio, july
agosto, august
septiembre, septiembre
octubre, october
noviembre, november
diciembre, dicember
terror, terror
fe, faith
juguete, toy
porque?, why
porque, because
que, what
familia, family
quien, who
cual, which
como, how
donde, where
este, this
aquel, that
regalo, gift
aire, air
viento, wind
lluvia, rain
lento, slow
feliz, happy
borracho, drunk
tonto, silly
listo, ready

